movieId,title,genres,year,title_cast,director,runtime
12,Dracula: Dead and Loving It ,Comedy|Horror,1995,Leslie Nielsen|Peter MacNicol|Steven Weber|Amy Yasbeck|Lysette Anthony|Harvey Korman|Mel Brooks|Mark Blankfield|Megan Cavanagh|Clive Revill|Chuck McCann|Avery Schreiber|Cherie Franklin|Ezio Greggio|Leslie S. Sachs,Mel Brooks,88.0
13,Balto ,Adventure|Animation|Children,1995,Kevin Bacon|Bob Hoskins|Bridget Fonda|Jim Cummings|Phil Collins|Jack Angel|Danny Mann|Robbie Rist|Juliette Brewer|Sandra Dickinson|Miriam Margolyes|Lola Bates-Campbell|Donald Sinden|William Roberts|Garrick Hagon,Cliff Ruby,78.0
15,Cutthroat Island ,Action|Adventure|Romance,1995,Geena Davis|Matthew Modine|Frank Langella|Maury Chaykin|Patrick Malahide|Stan Shaw|Rex Linn|Paul Dillon|Christopher Masterson|Jimmie F. Skaggs|Harris Yulin|Carl Chase|Peter Geeves|Angus Wright|Ken Bones,Michael Frost Beckner,124.0
17,Sense and Sensibility ,Drama|Romance,1995,James Fleet|Tom Wilkinson|Harriet Walter|Kate Winslet|Emma Thompson|Gemma Jones|Hugh Grant|Emilie François|Elizabeth Spriggs|Robert Hardy|Ian Brimble|Isabelle Amyes|Alan Rickman|Greg Wise|Alexander John,Jane Austen,136.0
18,Four Rooms ,Comedy,1995,Sammi Davis|Amanda De Cadenet|Valeria Golino|Madonna|Ione Skye|Lili Taylor|Alicia Witt|Jennifer Beals|David Proval|Antonio Banderas|Lana McKissack|Patricia Vonne|Tamlyn Tomita|Danny Verduzco|Salma Hayek,Alexandre Rockwell,98.0
19,Ace Ventura: When Nature Calls ,Comedy,1995,Jim Carrey|Ian McNeice|Simon Callow|Maynard Eziashi|Bob Gunton|Sophie Okonedo|Tommy Davidson|Adewale Akinnuoye-Agbaje|Danny Daniels|Sam Phillips|Damon Standifer|Andrew Steel|Bruce Spence|Tom Grunke|Arsenio 'Sonny' Trinidad,Jack Bernstein,90.0
20,Money Train ,Action|Comedy|Crime|Drama|Thriller,1995,Wesley Snipes|Woody Harrelson|Jennifer Lopez|Robert Blake|Chris Cooper|Joe Grifasi|Scott Sowers|Skipp Sudduth|Vincent Laresca|Nelson Vasquez|Vincent Patrick|Aida Turturro|Alvaleta Guess|Vincent Pastore|David Tawil,Doug Richardson,110.0
21,Get Shorty ,Comedy|Crime|Thriller,1995,John Travolta|Gene Hackman|Rene Russo|Danny DeVito|Dennis Farina|Delroy Lindo|James Gandolfini|Jon Gries|Renee Props|David Paymer|Martin Ferrero|Miguel Sandoval|Jacob Vargas|Linda Hart|Bobby Slayton,Elmore Leonard,105.0
22,Copycat ,Crime|Drama|Horror|Mystery|Thriller,1995,Sigourney Weaver|Holly Hunter|Dermot Mulroney|William McNamara|Harry Connick Jr.|J.E. Freeman|Will Patton|John Rothman|Shannon O'Hurley|Bob Greene|Tony Haney|Danny Kovacs|Tahmus Rounds|Scott DeVenney|David Michael Silverman,Ann Biderman,123.0
23,Assassins ,Action|Crime|Thriller,1995,Sylvester Stallone|Antonio Banderas|Julianne Moore|Anatoli Davydov|Muse Watson|Steve Kahan|Kelly Rowan|Reed Diamond|Kai Wulff|Kerry Skalsky|James Douglas Haskins|Stephen Liska|John Harms|Edward J. Rosen|Christina Orchid,Lilly Wachowski,132.0
24,Powder ,Drama|Sci-Fi,1995,Mary Steenburgen|Sean Patrick Flanery|Lance Henriksen|Jeff Goldblum|Brandon Smith|Bradford Tatum|Susan Tyrrell|Missy Crider|Ray Wise|Esteban Powell|Reed Frerichs|Chad Cox|Joe Marchman|Philip Maurice Hayes|Danette McMahon,Victor Salva,111.0
25,Leaving Las Vegas ,Drama|Romance,1995,Nicolas Cage|Elisabeth Shue|Julian Sands|Richard Lewis|Steven Weber|Kim Adams|Emily Procter|Stuart Regen|Valeria Golino|Graham Beckel|Albert Henderson|Shashi Bhatia|Carey Lowell|Anne Lange|Thomas Kopache,John O'Brien,111.0
26,Othello ,Drama,1995,Laurence Fishburne|Irène Jacob|Kenneth Branagh|Nathaniel Parker|Michael Maloney|Anna Patrick|Nicholas Farrell|Indra Ové|Michael Sheen|André Oumansky|Philip Locke|John Savident|Gabriele Ferzetti|Pierre Vaneck,Oliver Parker,123.0
27,Now and Then ,Children|Drama,1995,Christina Ricci|Rosie O'Donnell|Thora Birch|Melanie Griffith|Gaby Hoffmann|Demi Moore|Ashleigh Aston Moore|Rita Wilson|Devon Sawa|Walter Sparrow|Cloris Leachman|Lolita Davidovich|Janeane Garofalo|Hank Azaria|Bonnie Hunt,I. Marlene King,100.0
28,Persuasion ,Drama|Romance,1995,Amanda Root|Ciarán Hinds|Susan Fleetwood|Corin Redgrave|Fiona Shaw|John Woodvine|Phoebe Nicholls|Samuel West|Sophie Thompson|Judy Cornwell|Simon Russell Beale|Felicity Dean|Roger Hammond|Emma Roberts|Victoria Hamilton,Roger Michell,107.0
29,"City of Lost Children, The (Cité des enfants perdus, La) ",Adventure|Drama|Fantasy|Mystery|Sci-Fi,1995,Ron Perlman|Daniel Emilfork|Judith Vittet|Dominique Pinon|Jean-Claude Dreyfus|Geneviève Brunet|Odile Mallet|Mireille Mossé|Serge Merlin|Rufus|Ticky Holgado|Joseph Lucien|Mapi Galán|Briac Barthélémy|Pierre-Quentin Faesch,Jean-Pierre Jeunet,112.0
31,Dangerous Minds ,Drama,1995,Michelle Pfeiffer|George Dzundza|Courtney B. Vance|Robin Bartlett|Beatrice Winde|John Neville|Lorraine Toussaint|Renoly Santiago|Wade Dominguez|Bruklin Harris|Marcello Thedford|Roberto Alvarez|Richard Grant|Marisela Gonzales|Toni Nichelle Buzhardt,LouAnne Johnson,99.0
32,Twelve Monkeys (a.k.a. 12 Monkeys) ,Mystery|Sci-Fi|Thriller,1995,Joseph Melito|Bruce Willis|Jon Seda|Michael Chance|Vernon Campbell|H. Michael Walls|Bob Adrian|Simon Jones|Carol Florence|Bill Raymond|Ernest Abuba|Irma St. Paule|Madeleine Stowe|Joey Perillo|Bruce Kirkpatrick,Chris Marker,129.0
34,Babe ,Children|Drama,1995,Christine Cavanaugh|Miriam Margolyes|Danny Mann|Hugo Weaving|Miriam Flynn|Russi Taylor|Evelyn Krape|Michael Edward-Stevens|Charles Bartlett|Paul Livingston|Roscoe Lee Browne|James Cromwell|Magda Szubanski|Zoe Burton|Paul Goddard,Dick King-Smith,91.0
35,Carrington ,Drama|Romance,1995,Emma Thompson|Jonathan Pryce|Steven Waddington|Samuel West|Rufus Sewell|Penelope Wilton|Janet McTeer|Peter Blythe|Jeremy Northam|Alex Kingston|Sebastian Harcombe|Richard Clifford|David Ryall|Stephen Boxer|Annabel Mullion,Christopher Hampton,121.0
36,Dead Man Walking ,Crime|Drama,1995,Susan Sarandon|Sean Penn|Robert Prosky|Raymond J. Barry|R. Lee Ermey|Celia Weston|Lois Smith|Scott Wilson|Roberta Maxwell|Margo Martindale|Barton Heyman|Steve Boles|Nesbitt Blaisdell|Ray Aranha|Larry Pine,Helen Prejean,122.0
38,It Takes Two ,Children|Comedy,1995,Kirstie Alley|Steve Guttenberg|Mary-Kate Olsen|Ashley Olsen|Philip Bosco|Jane Sibbett|Michelle Grisom|Desmond Robertson|Tiny Mills|Shanelle Henry|Anthony Aiello|LaTonya Borsay|Michèle Lonsdale Smith|Sean Orr|Elizabeth Walsh,Deborah Dean Davis,101.0
39,Clueless ,Comedy|Romance,1995,Alicia Silverstone|Stacey Dash|Brittany Murphy|Paul Rudd|Donald Faison|Elisa Donovan|Breckin Meyer|Jeremy Sisto|Dan Hedaya|Aida Linares|Wallace Shawn|Twink Caplan|Justin Walker|Sabastian Rashidi|Herb Hall,Amy Heckerling,97.0
40,"Cry, the Beloved Country ",Drama,1995,James Earl Jones|Richard Harris|Vusi Kunene|Charles S. Dutton|Tsholofelo Wechoemang|Dolly Rathebe|Ramolao Makhene|Jack Robinson|Jennifer Steyn|Patrick Ndlovu|Darlington Michaels|King Twala|Somizi Mhlongo|Sam Ngakane|John Whiteley,Ronald Harwood,106.0
41,Richard III ,Drama|War,1995,Christopher Bowen|Edward Jewesbury|Ian McKellen|Bill Paterson|Annette Bening|Matthew Groom|John Wood|Nigel Hawthorne|Maggie Smith|Kate Steavenson-Payne|Robert Downey Jr.|Tres Hanley|Tim McInnerny|Stacey Kent|Jim Carter,Ian McKellen,110.0
42,Dead Presidents ,Action|Crime|Drama,1995,Larenz Tate|Keith David|Chris Tucker|Freddy Rodríguez|Rose Jackson|N'Bushe Wright|Alvaleta Guess|James Pickens Jr.|Jenifer Lewis|Clifton Powell|Elizabeth Rodriguez|Terrence Howard|Ryan Williams|Larry McCoy|Rodney Winfield,Allen Hughes,119.0
43,Restoration ,Drama,1995,Robert Downey Jr.|Sam Neill|David Thewlis|Polly Walker|Meg Ryan|Ian McKellen|Hugh Grant|Ian McDiarmid|Mary MacLeod|Mark Letheren|Sandy McDade|Rosalind Bennett|Willie Ross|David Gant|Benjamin Whitrow,Rose Tremain,117.0
44,Mortal Kombat ,Action|Adventure|Fantasy,1995,Christopher Lambert|Robin Shou|Linden Ashby|Cary-Hiroyuki Tagawa|Bridgette Wilson-Sampras|Talisa Soto|Trevor Goddard|Chris Casamassa|François Petit|Keith Cooke|Hakim Alston|Kenneth Edwards|John Fujioka|Daniel Haggard|Sandy Helberg,Ed Boon,101.0
45,To Die For ,Comedy|Drama|Thriller,1995,Nicole Kidman|Matt Dillon|Joaquin Phoenix|Casey Affleck|Illeana Douglas|Alison Folland|Dan Hedaya|Wayne Knight|Kurtwood Smith|Holland Taylor|Susan Traylor|Maria Tucci|Tim Hopper|Michael Rispoli|Buck Henry,Joyce Maynard,106.0
46,How to Make an American Quilt ,Drama|Romance,1995,Kaelynn Craddick|Sara Craddick|Kate Capshaw|Adam Baldwin|Winona Ryder|Dermot Mulroney|Ellen Burstyn|Anne Bancroft|Maya Angelou|Alfre Woodard|Lois Smith|Jean Simmons|Kate Nelligan|Denis Arndt|Rip Torn,Whitney Otto,117.0
47,Seven (a.k.a. Se7en) ,Mystery|Thriller,1995,Morgan Freeman|Andrew Kevin Walker|Daniel Zacapa|Brad Pitt|Gwyneth Paltrow|John Cassini|Bob Mack|Peter Crombie|Reg E. Cathey|R. Lee Ermey|George Christy|Endre Hules|Hawthorne James|William Davidson|Bob Collins,Andrew Kevin Walker,127.0
48,Pocahontas ,Animation|Children|Drama|Musical|Romance,1995,Joe Baker|Christian Bale|Irene Bedard|Billy Connolly|James Apaumut Fall|Mel Gibson|Linda Hunt|John Kassir|Judy Kuhn|Danny Mann|Russell Means|David Ogden Stiers|Michelle St. John|Gordon Tootoosis|Frank Welker,Eric Goldberg,81.0
49,When Night Is Falling ,Drama|Romance,1995,Pascale Bussières|Rachael Crawford|Henry Czerny|David Fox|Don McKellar|Tracy Wright|Clare Coulter|Karyne Steben|Sarah Steben|Jonathan Potts|Tom Melissis|Stuart Clow|Richard W. Farrell|Fides Krucker|Thomas Sokolowski,Patricia Rozema,94.0
50,"Usual Suspects, The ",Crime|Mystery|Thriller,1995,Stephen Baldwin|Gabriel Byrne|Benicio Del Toro|Kevin Pollak|Kevin Spacey|Chazz Palminteri|Pete Postlethwaite|Suzy Amis|Giancarlo Esposito|Dan Hedaya|Paul Bartel|Carl Bressler|Phillipe Simon|Jack Shearer|Christine Estabrook,Christopher McQuarrie,106.0
51,Guardian Angel ,Action|Drama|Thriller,1994,Cynthia Rothrock|Daniel McVicar|Lydie Denier|Marshall R. Teague|Ken McLeod|John O'Leary|Anna Dalva|Robert Miano|Brian Brophy|Matthew Walker|Art Camacho|Dan Doherty|Dale Jacoby|Bela Lehoczky|Richard W. Munchkin,Richard W. Munchkin,97.0
52,Mighty Aphrodite ,Comedy|Drama|Romance,1995,Pamela Blair|Rene Ceballos|Elie Chaib|George De La Pena|Joanne DiMauro|Denise Faye|Marian Filali|Angelo Fraboni|Scott Fowler|Seth Gertsacov|Patti Karr|Fred Mann III|John Mineo|Christopher Nelson|Valda Setterfield,Woody Allen,95.0
53,Lamerica ,Adventure|Drama,1994,Enrico Lo Verso|Michele Placido|Piro Milkani|Carmelo Di Mazzarelli|Elida Janushi|Sefer Pema|Idajet Sejdia|Marieta Ljarja|Elina Ndreu|Ilir Ara|Liliana Subashi|Artan Marina|Vassjan Lammi|Nikolin Elezi|Fatmir Gjyla,Gianni Amelio,116.0
54,"Big Green, The ",Children|Comedy,1995,Steve Guttenberg|Olivia d'Abo|Jay O. Sanders|John Terry|Chauncey Leopardi|Patrick Renna|Billy L. Sullivan|Yareli Arizmendi|Bug Hall|Jessica Robertson|Anthony Esquivel|Jordan Brower|Hayley Kolb|Haley Miller|Ashley Welch,Holly Goldberg Sloan,100.0
55,Georgia ,Drama,1995,Jennifer Jason Leigh|Mare Winningham|Ted Levine|Max Perlich|John Doe|John C. Reilly|Jimmy Witherspoon|Jason Carter|Tom Bower|Smokey Hormel|Jimmy Z.|Tony Marsico|Jamian Briar|Rachel Rasco|Nicole Donahoo,Barbara Turner,115.0
56,Kids of the Round Table ,Adventure|Children|Comedy|Fantasy,1995,Johnny Morina|Maggie Castle|Christopher Olscamp|Justin Borntraeger|Billy Coyle|Jeoffrey Graves|Malcolm McDowell|Peter Aykroyd|Mélany Goudreau|James Rae|Jamieson Boulanger|Roc LaFortune|Michael Ironside|René Simard|Melissa Altro,Robert Tinnell,89.0
57,Home for the Holidays ,Drama,1995,Holly Hunter|Robert Downey Jr.|Anne Bancroft|Charles Durning|Dylan McDermott|Geraldine Chaplin|Steve Guttenberg|Cynthia Stevenson|Claire Danes|Emily Ann Lloyd|Zack Duhame|Austin Pendleton|David Strathairn|Amy Yasbeck|James Lecesne,Chris Radant,103.0
58,"Postman, The (Postino, Il) ",Comedy|Drama|Romance,1994,Philippe Noiret|Massimo Troisi|Maria Grazia Cucinotta|Renato Scarpa|Linda Moretti|Sergio Solli|Carlo Di Maio|Nando Neri|Vincenzo Di Sauro|Orazio Stracuzzi|Alfredo Cozzolino|Mariano Rigillo|Anna Bonaiuto,Massimo Troisi,108.0
59,"Confessional, The (Confessionnal, Le) ",Drama|Mystery,1995,Lothaire Bluteau|Patrick Goyette|Jean-Louis Millette|Kristin Scott Thomas|Ron Burrage|Richard Fréchette|François Papineau|Marie Gignac|Normand Daneau|Anne-Marie Cadieux|Suzanne Clément|Lynda Beaulieu|Pascal Rollin|Billy Merasty|Paul Hébert,Robert Lepage,100.0
60,"Indian in the Cupboard, The ",Adventure|Children|Fantasy,1995,Hal Scardino|Litefoot|Lindsay Crouse|Richard Jenkins|Rishi Bhat|Steve Coogan|David Keith|Sakina Jaffrey|Vincent Kartheiser|Nestor Serrano|Ryan Olson|Leon Tejwani|Lucas Tejwani|Christopher Conte|Cassandra Brown,Lynne Reid Banks,96.0
61,Eye for an Eye ,Drama|Thriller,1996,Sally Field|Ed Harris|Olivia Burnette|Alexandra Kyle|Kiefer Sutherland|Joe Mantegna|Beverly D'Angelo|Darrell Larson|Charlayne Woodard|Philip Baker Hall|Keith David|Wanda Acuna|Geoffrey Rivas|Armin Shimerman|Natalija Nogulich,Erika Holzer,101.0
62,Mr. Holland's Opus ,Drama,1995,Richard Dreyfuss|Glenne Headly|Jay Thomas|Olympia Dukakis|William H. Macy|Alicia Witt|Terrence Howard|Damon Whitaker|Jean Louisa Kelly|Alexandra Boyd|Nicholas John Renner|Joseph Anderson|Anthony Natale|Joanna Gleason|Beth Maitland,Patrick Sheane Duncan,143.0
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood ,Comedy|Crime,1996,Shawn Wayans|Marlon Wayans|Tracey Cherelle Jones|Chris Spencer|Suli McCullough|Darrel Heath|Helen Martin|Isaiah Barnes|Lahmard J. Tate|Keenen Ivory Wayans|Keith Morris|Craig Wayans|Casey Lee|Joe Scott|Kim Wayans,South Central,89.0
64,Two if by Sea ,Comedy|Romance,1996,Denis Leary|Sandra Bullock|Stephen Dillane|Yaphet Kotto|Mike Starr|Jonathan Tucker|Wayne Robson|Michael Badalucco|Lenny Clarke|Jonny Fido|Don Gavin|Shaun Clarke|Markus Parilo|John Friesen|Sean Runnette,Denis Leary,96.0
65,Bio-Dome ,Comedy,1996,William Atherton|Denise Dowse|Dara Tomanovich|Kevin West|Kylie Minogue|Pauly Shore|Stephen Baldwin|Joey Lauren Adams|Teresa Hill|Patricia Hearst|Robbie Thibaut Jr.|Adam Weisman|Henry Gibson|Brian Hayes Currie|Courtney Mizel,Adam Leff,88.0
66,Lawnmower Man 2: Beyond Cyberspace ,Action|Sci-Fi|Thriller,1996,Patrick Bergin|Matt Frewer|Austin O'Brien|Ely Pouget|Camille Cooper|Patrick LaBrecque|Crystal Celeste Grant|Sean P. Young|Mathew Valencia|Kevin Conway|Trever O'Brien|Richard Fancy|Ellis Williams|Castulo Guerra|Molly Shannon,Farhad Mann,93.0
67,Two Bits ,Drama,1995,Jerry Barone|Mary Elizabeth Mastrantonio|Al Pacino|Patrick Borriello|Andy Romano|Donna Mitchell|Mary Lou Rosato|Joe Grifasi|Rosemary De Angelis|Ron McLarty|Charley Scalies|Joanna Merlin|Geoff Pierson|Karen Shallo|Nick Discenza,Joseph Stefano,85.0
68,French Twist (Gazon maudit) ,Comedy|Romance,1995,Victoria Abril|Josiane Balasko|Alain Chabat|Ticky Holgado|Catherine Hiegel|Catherine Samie|Catherine Lachens|Katrine Boorman|Telsche Boorman|Véronique Barrault|Sylvie Audcoeur|Michèle Bernier|Maureen Diot|Miguel Bosé|Jean-Luc Violet,Patrick Aubrée,104.0
69,Friday ,Comedy,1995,Ice Cube|Chris Tucker|Nia Long|Tommy 'Tiny' Lister|John Witherspoon|Anna Maria Horsford|Regina King|Paula Jai Parker|Faizon Love|DJ Pooh|Angela Means|Vickilyn Reynolds|Ronn Riser|Kathleen Bradley|Tony Cox,Ice Cube,91.0
70,From Dusk Till Dawn ,Action|Comedy|Horror|Thriller,1996,George Clooney|Quentin Tarantino|Harvey Keitel|Juliette Lewis|Ernest Liu|Salma Hayek|Cheech Marin|Danny Trejo|Tom Savini|Fred Williamson|Michael Parks|Brenda Hillhouse|John Saxon|Marc Lawrence|Kelly Preston,Robert Kurtzman,108.0
71,Fair Game ,Action,1995,William Baldwin|Cindy Crawford|Steven Berkoff|Christopher McDonald|Miguel Sandoval|Johann Carlo|Salma Hayek|John Bedford Lloyd|Olek Krupa|Jenette Goldstein|Marc Macaulay|Sonny Carl Davis|Frank Medrano|Don Yesso|Paul Dillon,Paula Gosling,91.0
72,Kicking and Screaming ,Comedy|Drama,1995,Josh Hamilton|Samuel Gould|Catherine Kellner|Jonathan Baumbach|John Lehr|Olivia d'Abo|Peter Czernin|Carlos Jacott|Chris Eigeman|Eric Stoltz|Eliza Roberts|Jason Wiles|Parker Posey|Christopher Reed|Noah Baumbach,Noah Baumbach,96.0
74,Bed of Roses ,Drama|Romance,1996,Christian Slater|Mary Stuart Masterson|Pamela Adlon|Josh Brolin|Brian Tarantina|Debra Monk|Mary Alice|Kenneth Cranham|Ally Walker|Anne Pitoniak|Michael Haley|Cass Morgan|Gina Torres|Nick Tate|Víctor Sierra,Michael Goldenberg,87.0
75,Big Bully ,Comedy|Drama,1996,Rick Moranis|Tom Arnold|Julianne Phillips|Carol Kane|Jeffrey Tambor|Curtis Armstrong|Faith Prince|Tony Pierce|Don Knotts|Blake Bashoff|Cody McMains|Harry Waters Jr.|Stuart Pankin|Justin Jon Ross|Michael Zwiener,Mark Steven Johnson,90.0
76,Screamers ,Action|Sci-Fi|Thriller,1995,Peter Weller|Roy Dupuis|Jennifer Rubin|Andrew Lauer|Charles Edwin Powell|Ron White|Michael Caloz|Liliana Komorowska|Jason Cavalier|Leni Parker|Sylvain Massé|Bruce Boa|Tom Berry|Henry Ramer,Philip K. Dick,108.0
78,"Crossing Guard, The ",Action|Crime|Drama|Thriller,1995,Jack Nicholson|David Morse|Anjelica Huston|Robin Wright|Piper Laurie|Richard Bradford|Priscilla Barnes|David Baerwald|Robbie Robertson|John Savage|Kari Wuhrer|Jennifer Leigh Warren|Kellita Smith|Richard C. Sarafian|Bobby Cooper,Sean Penn,111.0
79,"Juror, The ",Drama|Thriller,1996,Demi Moore|Alec Baldwin|Joseph Gordon-Levitt|James Gandolfini|Lindsay Crouse|Anne Heche|Tony Lo Bianco|Michael Constantine|Matt Craven|Todd Susman|Michael Rispoli|Julie Halston|Frank Adonis|Matthew Cowles|Polly Adams,George Dawes Green,118.0
80,"White Balloon, The (Badkonake sefid) ",Children|Drama,1995,Aida Mohammadkhani|Mohsen Kafili|Fereshteh Sadre Orafaiy|Anna Borkowska|Mohammad Shahani|Mohammed Bakhtiar|Aliasghar Smadi|Hamidreza Tahery|Asghar Barzegar|Hasan Neamatolahi|Bosnali Bahary|Mohammadreza Baryar|Shaker Hayely|Homayoon Rokani|Mohammad Farakani,Abbas Kiarostami,85.0
81,Things to Do in Denver When You're Dead ,Crime|Drama|Romance,1995,Andy Garcia|Christopher Lloyd|William Forsythe|Bill Nunn|Treat Williams|Jack Warden|Steve Buscemi|Fairuza Balk|Gabrielle Anwar|Christopher Walken|Michael Nicolosi|Bill Cobbs|Marshall Bell|Glenn Plummer|Don Stark,Scott Rosenberg,115.0
82,Antonia's Line (Antonia) ,Comedy|Drama,1995,Willeke van Ammelrooy|Els Dottermans|Dora van der Groen|Veerle van Overloop|Esther Vriesendorp|Carolien Spoor|Thyrza Ravesteijn|Mil Seghers|Jan Decleir|Elsie de Brauw|Reinout Bussemaker|Marina de Graaf|Jan Steen|Catherine ten Bruggencate|Paul Kooij,Marleen Gorris,102.0
83,Once Upon a Time... When We Were Colored ,Drama|Romance,1995,Al Freeman Jr.|Phylicia Rashad|Leon|Paula Kelly|Salli Richardson-Whitfield|Anna Maria Horsford|Bernie Casey|Isaac Hayes|Ray J|Karen Malina White|Damon Hines|Iona Morris|Phill Lewis|Taj Mahal|Polly Bergen,Clifton L. Taulbert,115.0
84,Last Summer in the Hamptons ,Comedy|Drama,1995,Victoria Foyt|Viveca Lindfors|Jon Robin Baitz|Savannah Smith Boucher|Roscoe Lee Browne|Andre Gregory|Nick Gregory|Melissa Leo|Roddy McDowall|Martha Plimpton|Ron Rifkin|Diane Salinger|Brooke Smith|Kristoffer Tabori|Holland Taylor,Henry Jaglom,108.0
85,Angels and Insects ,Drama|Romance,1995,Mark Rylance|Kristin Scott Thomas|Patsy Kensit|Jeremy Kemp|Douglas Henshall|Annette Badland|Chris Larkin|Anna Massey|Saskia Wickham|Lindsay Thomas|Michelle Sylvester|Clare Lovell|Jenny Lovell|Oona Haas|Angus Hodder,A.S. Byatt,116.0
86,White Squall ,Action|Adventure|Drama,1996,Jeff Bridges|Caroline Goodall|John Savage|Scott Wolf|Jeremy Sisto|Ryan Phillippe|David Lascher|Eric Michael Cole|Jason Marsden|David Selby|Julio Oscar Mechoso|Zeljko Ivanek|Balthazar Getty|Ethan Embry|Jordan Clarke,Charles Gieg Jr.,129.0
87,Dunston Checks In ,Children|Comedy,1996,Jason Alexander|Faye Dunaway|Eric Lloyd|Rupert Everett|Graham Sack|Paul Reubens|Glenn Shadix|Nathan Davis|Jennifer Bassey|Judith Scott|Bruce Beatty|Danny Comden|Steven Gilborn|Lois De Banzie|Natalie Core,John Hopkins,88.0
88,Black Sheep ,Comedy,1996,Chris Farley|David Spade|Tim Matheson|Christine Ebersole|Gary Busey|Grant Heslov|Timothy Carhart|Bruce McGill|Michael Patrick Carter|Boyd Banks|David St. James|Skip O'Brien|Branden Morgan|'Gypsy' Spheeris|John Ashker,Fred Wolf,87.0
89,Nick of Time ,Action|Thriller,1995,Johnny Depp|Courtney Chase|Charles S. Dutton|Christopher Walken|Roma Maffia|Marsha Mason|Peter Strauss|Gloria Reuben|Bill Smitrovich|G.D. Spradlin|Yul Vazquez|Edith Diaz|Armando Ortega|C.J. Bau|Cynthena Sanders,Patrick Sheane Duncan,90.0
90,The Journey of August King ,Drama,1995,Jason Patric|Thandie Newton|Larry Drake|Sam Waterston|Sarah-Jane Wylde|Eric Mabius|Muse Watson|John Doman|Andy Stahl|Danny Nelson|Collin Wilcox Paxton|Dean Rader-Duval|Billy Ray Reynolds|Marlus Harding|Lisa Roberts Gillan,John Duigan,91.0
